Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.90200070961264,,6.248690163119208
2013,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,22,,1.50717449312694,,1.597832826486631
2013,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,868,,121.520972167777,,123.6376289938312
2013,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,236,,31.4790904143502,,32.09544451972418
2013,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,989,,400.41782729805,,413.5421732914769
2013,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,429,,155.824343467364,,159.39062751933105
2013,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2212,,1314.51493091665,,1448.0096858493453
2013,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2397,,935.155527639171,,917.4438329132744
2013,S12000005,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000005,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000005,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,140.35405611939711
2013,S12000005,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,13.493152225245687
2013,S12000005,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,650.9101305632327
2013,S12000005,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,220.47405740711676
2013,S12000005,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1512.87710431765
2013,S12000005,,75plus years,,Females,,Coronary Heart Disease,,c,,c,936.8103722719078
2013,S12000006,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,13.272067933899905
2013,S12000006,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.5053983134026403
2013,S12000006,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,98.73663751583206
2013,S12000006,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,55.21902297636671
2013,S12000006,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,406.12878606878553
2013,S12000006,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,173.07496913766067
2013,S12000006,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1833.883073723571
2013,S12000006,,75plus years,,Females,,Coronary Heart Disease,,c,,c,800.6316116037025
2013,S12000008,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,3.97271313605975
2013,S12000008,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,6.4485077176146035
2013,S12000008,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,149.05971590756863
2013,S12000008,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,63.27973322588637
2013,S12000008,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,386.07133729005926
2013,S12000008,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,227.22168038674496
2013,S12000008,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1663.856874032731
2013,S12000008,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1284.5199741467177
2013,S12000010,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000010,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000010,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,67.33723619628284
2013,S12000010,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,19.68473537196248
2013,S12000010,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,368.4331521655074
2013,S12000010,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,166.04535482509206
2013,S12000010,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1447.8098232315792
2013,S12000010,,75plus years,,Females,,Coronary Heart Disease,,c,,c,866.1867659762947
2013,S12000011,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,4.305201913969765
2013,S12000011,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000011,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,82.5956801855453
2013,S12000011,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,21.831585061856575
2013,S12000011,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,309.0797598210223
2013,S12000011,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,145.57567380075773
2013,S12000011,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1025.04326508893
2013,S12000011,,75plus years,,Females,,Coronary Heart Disease,,c,,c,891.818585509443
2013,S12000013,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000013,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000013,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,89.76597549380811
2013,S12000013,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,50.21146752669898
2013,S12000013,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,186.35519153217612
2013,S12000013,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000013,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1046.9365201883245
2013,S12000013,,75plus years,,Females,,Coronary Heart Disease,,c,,c,473.0296199406934
2013,S12000014,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,8.562062723225205
2013,S12000014,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000014,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,133.69594919172962
2013,S12000014,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,41.751099025959995
2013,S12000014,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,407.2198761236462
2013,S12000014,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,112.0393875293677
2013,S12000014,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1443.780793161029
2013,S12000014,,75plus years,,Females,,Coronary Heart Disease,,c,,c,993.6538780732474
2013,S12000017,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.364548880109308
2013,S12000017,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.344467845708263
2013,S12000017,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,130.45718158945354
2013,S12000017,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,11.43490914490602
2013,S12000017,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,339.6471779364764
2013,S12000017,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,145.099883556037
2013,S12000017,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1267.7597905796033
2013,S12000017,,75plus years,,Females,,Coronary Heart Disease,,c,,c,888.6093733402321
2013,S12000018,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,5.146075015070648
2013,S12000018,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000018,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,163.77978244164734
2013,S12000018,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,15.393411619826717
