Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S08000015,,0-44 years,,Males,,Coronary Heart Disease,7,,7.5584973707227,,8.095560401272271
2013,S08000015,,0-44 years,,Females,,Coronary Heart Disease,2,,2.10382369957398,,2.189257350058678
2013,S08000015,,45-64 years,,Males,,Coronary Heart Disease,75,,144.731763797761,,143.52128631004683
2013,S08000015,,45-64 years,,Females,,Coronary Heart Disease,23,,40.8540267860315,,41.094647215866424
2013,S08000015,,65-74 years,,Males,,Coronary Heart Disease,95,,466.784591194969,,478.0446896710693
2013,S08000015,,65-74 years,,Females,,Coronary Heart Disease,46,,202.93819208541,,212.35850467452155
2013,S08000015,,75plus years,,Males,,Coronary Heart Disease,206,,1530.6880665775,,1604.7326756124278
2013,S08000015,,75plus years,,Females,,Coronary Heart Disease,213,,1066.65331263458,,1044.3125921448204
2013,S08000016,,0-44 years,,Males,,Coronary Heart Disease,1,,3.7824343747636,,3.381054502598582
2013,S08000016,,0-44 years,,Females,,Coronary Heart Disease,1,,3.711539175296,,4.361696824684712
2013,S08000016,,45-64 years,,Males,,Coronary Heart Disease,14,,81.6993464052288,,81.00142528921921
2013,S08000016,,45-64 years,,Females,,Coronary Heart Disease,2,,11.3314447592068,,11.36343907547909
2013,S08000016,,65-74 years,,Males,,Coronary Heart Disease,21,,300.687285223368,,311.6573959165013
2013,S08000016,,65-74 years,,Females,,Coronary Heart Disease,7,,93.9597315436242,,98.37024748610918
2013,S08000016,,75plus years,,Males,,Coronary Heart Disease,62,,1304.43930149379,,1537.301554052251
2013,S08000016,,75plus years,,Females,,Coronary Heart Disease,69,,1057.3092246399,,1026.9928350821365
2013,S08000017,,0-44 years,,Males,,Coronary Heart Disease,4,,11.4623033498582,,13.272067933899905
2013,S08000017,,0-44 years,,Females,,Coronary Heart Disease,1,,2.84357494241761,,3.5053983134026403
2013,S08000017,,45-64 years,,Males,,Coronary Heart Disease,22,,99.8638220608262,,98.73663751583206
2013,S08000017,,45-64 years,,Females,,Coronary Heart Disease,13,,56.1797752808989,,55.21902297636671
2013,S08000017,,65-74 years,,Males,,Coronary Heart Disease,37,,395.299145299145,,406.12878606878553
2013,S08000017,,65-74 years,,Females,,Coronary Heart Disease,17,,169.356445507073,,173.07496913766067
2013,S08000017,,75plus years,,Males,,Coronary Heart Disease,105,,1568.80322725235,,1833.883073723571
2013,S08000017,,75plus years,,Females,,Coronary Heart Disease,75,,837.520938023451,,800.6316116037025
2013,S08000019,,0-44 years,,Males,,Coronary Heart Disease,5,,6.14892701223637,,5.907292637150457
2013,S08000019,,0-44 years,,Females,,Coronary Heart Disease,2,,2.44436024981362,,2.669609034190429
2013,S08000019,,45-64 years,,Males,,Coronary Heart Disease,48,,116.859403530128,,120.63666851324813
2013,S08000019,,45-64 years,,Females,,Coronary Heart Disease,14,,32.8137817883511,,33.94599191323159
2013,S08000019,,65-74 years,,Males,,Coronary Heart Disease,60,,423.190859077444,,437.2170611671756
2013,S08000019,,65-74 years,,Females,,Coronary Heart Disease,21,,132.87775246773,,136.2887128323169
2013,S08000019,,75plus years,,Males,,Coronary Heart Disease,115,,1246.88279301746,,1401.4795580345408
2013,S08000019,,75plus years,,Females,,Coronary Heart Disease,127,,934.579439252336,,935.2279841807156
2013,S08000020,,0-44 years,,Males,,Coronary Heart Disease,7,,4.21473471255509,,4.354984494393165
2013,S08000020,,0-44 years,,Females,,Coronary Heart Disease,3,,1.86782056470442,,1.8734410294290824
2013,S08000020,,45-64 years,,Males,,Coronary Heart Disease,68,,87.3833817368732,,88.23196187726477
2013,S08000020,,45-64 years,,Females,,Coronary Heart Disease,26,,33.2898005172723,,33.612938758895396
2013,S08000020,,65-74 years,,Males,,Coronary Heart Disease,81,,315.654105451853,,325.33256640127695
2013,S08000020,,65-74 years,,Females,,Coronary Heart Disease,40,,144.717800289436,,148.71700782665738
2013,S08000020,,75plus years,,Males,,Coronary Heart Disease,198,,1123.59550561798,,1240.5139036125397
2013,S08000020,,75plus years,,Females,,Coronary Heart Disease,249,,970.457557097202,,947.51288357827
2013,S08000022,,0-44 years,,Males,,Coronary Heart Disease,5,,6.24695460962781,,6.9975551854661475
2013,S08000022,,0-44 years,,Females,,Coronary Heart Disease,2,,2.56976923472272,,2.5185791117099536
2013,S08000022,,45-64 years,,Males,,Coronary Heart Disease,54,,114.63507833397,,113.30164409122628
2013,S08000022,,45-64 years,,Females,,Coronary Heart Disease,10,,20.4808913283906,,20.460226309706385
2013,S08000022,,65-74 years,,Males,,Coronary Heart Disease,62,,336.846680430294,,352.6036041463804
2013,S08000022,,65-74 years,,Females,,Coronary Heart Disease,24,,122.268072749503,,128.2995151435194
2013,S08000022,,75plus years,,Males,,Coronary Heart Disease,144,,1206.83875293329,,1328.145457882129
2013,S08000022,,75plus years,,Females,,Coronary Heart Disease,165,,958.522133147438,,936.0677522144616
2013,S08000024,,0-44 years,,Males,,Coronary Heart Disease,6,,2.41350597946106,,2.5452753935748116
2013,S08000024,,0-44 years,,Females,,Coronary Heart Disease,3,,1.19260110275849,,1.2912999053110243
2013,S08000024,,45-64 years,,Males,,Coronary Heart Disease,116,,108.766994842944,,112.81723800060394
2013,S08000024,,45-64 years,,Females,,Coronary Heart Disease,33,,29.9382184038394,,30.799551037203155
2013,S08000024,,65-74 years,,Males,,Coronary Heart Disease,132,,389.817494536649,,404.5685055867553
2013,S08000024,,65-74 years,,Females,,Coronary Heart Disease,48,,125.342734038386,,127.20343280245574
2013,S08000024,,75plus years,,Males,,Coronary Heart Disease,320,,1342.5634571009,,1454.3232713212456
2013,S08000024,,75plus years,,Females,,Coronary Heart Disease,322,,877.408103763045,,847.9837838126775
2013,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,29.328380095806043
2013,S08000025,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,316.5259708329765
